"","SE","Data_Wt","Eff_SE"
"1",0.2,1,0.2
"2",0.2,1,0.2
"3",0.2,1,0.2
"4",0.2,1,0.2
"5",0.2,1,0.2
"6",0.2,1,0.2
"7",0.2,1,0.2
"8",0.2,1,0.2
"9",0.2,1,0.2
"10",0.2,1,0.2
"11",0.2,1,0.2
"12",0.2,1,0.2
"13",0.2,1,0.2
"14",0.2,1,0.2
"15",0.2,1,0.2
"16",0.2,1,0.2
"17",0.2,1,0.2
"18",0.2,1,0.2
"19",0.200000002870015,1,0.200000002870015
"20",0.200000001785478,1,0.200000001785478
"21",0.199999998932207,1,0.199999998932207
"22",0.200000001195053,1,0.200000001195053
"23",0.200000001836307,1,0.200000001836307
"24",0.199999999396727,1,0.199999999396727
"25",0.19999999869956,1,0.19999999869956
"26",0.2,1,0.2
"27",0.200000001153703,1,0.200000001153703
"28",0.199999999402722,1,0.199999999402722
"29",0.2,1,0.2
"30",0.200000001333394,1,0.200000001333394
"31",0.200000000652083,1,0.200000000652083
"32",0.200000002472839,1,0.200000002472839
"33",0.20000000071165,1,0.20000000071165
"34",0.2,1,0.2
"35",0.199999999200323,1,0.199999999200323
"36",0.200000002241091,1,0.200000002241091
"37",0.199999995351786,1,0.199999995351786
"38",0.200000001868748,1,0.200000001868748
"39",0.200000002074827,1,0.200000002074827
"40",0.199999995237216,1,0.199999995237216
"41",0.200000005244863,1,0.200000005244863
"42",0.200000001160929,1,0.200000001160929
"43",0.199999996778963,1,0.199999996778963
"44",0.199999996923998,1,0.199999996923998
"45",0.199999997755857,1,0.199999997755857
"46",0.199999998913894,1,0.199999998913894
