"","SE","Data_Wt","Eff_SE"
"1",0.0464621522924419,1,0.0464621522924419
"2",0.049022879225751,1,0.049022879225751
"3",0.0460030143719024,1,0.0460030143719024
"4",0.0606102484027614,1,0.0606102484027614
"5",0.0484005634053113,1,0.0484005634053113
"6",0.0520689526376023,1,0.0520689526376023
"7",0.0512697134690298,1,0.0512697134690298
"8",0.0582112878272353,1,0.0582112878272353
"9",0.0642815447074762,1,0.0642815447074762
"10",0.0613187547736117,1,0.0613187547736117
"11",0.0759340524526938,1,0.0759340524526938
"12",0.0624762940225149,1,0.0624762940225149
"13",0.0794171160785326,1,0.0794171160785326
"14",0.0751305871774101,1,0.0751305871774101
"15",0.0754302387016455,1,0.0754302387016455
"16",0.0786968388696469,1,0.0786968388696469
"17",0.0800178805266734,1,0.0800178805266734
"18",0.0752643315354944,1,0.0752643315354944
"19",0.0687552574435668,1,0.0687552574435668
"20",0.0910841936882368,1,0.0910841936882368
"21",0.0846816212027345,1,0.0846816212027345
"22",0.0824219459498271,1,0.0824219459498271
"23",0.0817840100149819,1,0.0817840100149819
"24",0.0728834939101193,1,0.0728834939101193
"25",0.0669455885861278,1,0.0669455885861278
"26",0.0720438002774463,1,0.0720438002774463
"27",0.0672090856983279,1,0.0672090856983279
"28",0.0846077495829437,1,0.0846077495829437
"29",0.0657483291850541,1,0.0657483291850541
"30",0.0856252891937375,1,0.0856252891937375
"31",0.0632437693146166,1,0.0632437693146166
"32",0.057855606551373,1,0.057855606551373
"33",0.0623464073758714,1,0.0623464073758714
"34",0.0736298845392008,1,0.0736298845392008
"35",0.0631674893990125,1,0.0631674893990125
