"","SE","Data_Wt","Eff_SE"
"1",0.169035530659561,1,0.169035530659561
"2",0.191341596277379,1,0.191341596277379
"3",0.138325286002209,1,0.138325286002209
"4",0.283982442660124,1,0.283982442660124
"5",0.201741022599143,1,0.201741022599143
"6",0.204266100776,1,0.204266100776
"7",0.195516956776368,1,0.195516956776368
"8",0.174693112701413,1,0.174693112701413
"9",0.18555369374828,1,0.18555369374828
"10",0.231859307743844,1,0.231859307743844
"11",0.35275361070337,1,0.35275361070337
"12",0.272122853157944,1,0.272122853157944
"13",0.0976534787227856,1,0.0976534787227856
"14",0.166559856030994,1,0.166559856030994
